date,time,lat,long,country,city,area,direction,dist,depth,xm,md,richter,mw,ms,mb
2014.03.18,12:28:47 AM,38.88,43.53,turkey,van,ermisler,north_east,2.5,1.1,4.1,0.0,4.1,3.9,0.0,0.0
2015.01.21,12:07:47 AM,38.3,42.83,turkey,van,toreli_gevas,north_east,2.5,4.5,3.6,0.0,3.5,3.6,0.0,0.0
1958.11.23,12:07:38 AM,40.49,30.69,turkey,bolu,kasikciseyhler_goynuk,north,2.5,10.0,4.6,4.5,4.5,4.6,4.4,4.6
1959.10.25,12:58:00 AM,39.25,41.63,turkey,erzurum,elmadali_hinis,north,2.5,50.0,5.3,5.0,4.9,5.3,5.0,5.0
1951.08.14,12:23:12 AM,40.82,33.23,turkey,cankiri,dagtarla_kursunlu,east,2.5,10.0,4.9,4.8,4.8,4.9,4.8,4.9
1971.02.15,12:19:57 AM,39.19,29.36,turkey,kutahya,seyhler_hisarcik,east,2.5,32.0,5.3,0.0,5.3,5.2,4.9,4.9
1969.03.25,12:21:12 AM,39.06,28.41,turkey,manisa,doganpinar_gordes,west,2.6,28.0,4.3,4.2,4.1,4.2,4.2,4.3
1970.03.29,12:56:24 AM,39.06,29.74,turkey,kutahya,tokul_aslanapa,west,2.6,29.0,5.4,5.3,5.3,5.4,5.4,5.1
1971.10.09,12:29:14 AM,37.24,30.33,turkey,antalya,yakakoy_korkuteli,west,2.6,11.0,4.5,4.3,4.5,4.5,4.2,4.4
2011.11.09,12:23:35 AM,38.42,43.21,turkey,van,edremit,west,2.6,6.0,5.6,0.0,5.6,5.6,0.0,0.0
1915.12.25,12:06:09 AM,36.47,36.14,turkey,hatay,guzelyayla_belen,south_west,2.6,10.0,5.4,5.1,5.1,5.4,5.2,5.1
1926.10.22,12:44:05 AM,40.7,43.7,turkey,kars,kalkankale_akyaka,south_west,2.6,8.0,5.4,5.1,5.1,5.4,5.2,5.1
1969.03.03,12:59:11 AM,40.08,27.5,turkey,balikesir,alacaoluk_gonen,south_west,2.6,6.0,5.8,5.4,0.0,5.8,5.8,5.6
1970.04.15,12:27:53 AM,39.27,29.7,turkey,kutahya,cakmak_aslanapa,south_west,2.6,41.0,4.2,4.0,4.0,4.2,3.7,4.1
1970.10.19,12:32:25 AM,37.01,29.01,turkey,mugla,karacam_koycegiz,south_west,2.6,11.0,4.7,4.5,4.5,4.7,4.4,4.6
1973.02.25,12:55:22 AM,38.92,29.39,turkey,kutahya,sandikli_gediz,south_west,2.6,18.0,4.1,3.9,3.8,4.1,3.6,4.0
1924.09.13,12:45:09 AM,40.24,41.94,turkey,erzurum,koyunoren_narman,south_east,2.6,10.0,5.3,5.0,5.0,5.3,5.1,5.1
1956.02.20,12:31:44 AM,39.89,30.49,turkey,eskisehir,sulukaraagac_tepebasi,south_east,2.6,40.0,6.4,6.1,6.0,6.2,6.4,6.0
1964.12.15,12:00:01 AM,39.5,36.5,turkey,sivas,abdalli_sarkisla,south_east,2.6,30.0,4.6,4.4,4.4,4.6,4.3,4.5
1970.03.23,12:56:08 AM,39.2,28.2,turkey,balikesir,yaylacik_sindirgi,south_east,2.6,26.0,4.2,4.0,4.2,4.2,3.7,4.1
1970.05.26,12:51:51 AM,38.92,29.44,turkey,kutahya,sandikli_gediz,south_east,2.6,59.0,4.7,4.6,4.6,4.7,4.5,4.4
1972.05.28,12:14:36 AM,38.96,30.04,turkey,kutahya,eyidemir_dumlupinar,south_east,2.6,29.0,5.1,4.8,4.6,5.1,4.8,4.8
2016.09.23,12:07:00 AM,38.19,27.02,turkey,izmir,kuyucak_menderes,south_east,2.6,13.8,3.9,0.0,3.8,3.9,0.0,0.0
1914.10.04,12:48:58 AM,38.01,38.24,turkey,adiyaman,celikhan,south,2.6,15.0,5.3,5.0,5.0,5.3,5.1,5.1
1933.01.02,12:56:58 AM,38.01,38.24,turkey,adiyaman,celikhan,south,2.6,50.0,4.8,4.7,4.6,4.8,4.6,4.7
1940.02.21,12:50:00 AM,38.4,35.3,turkey,kayseri,cayirozu_develi,south,2.6,30.0,5.4,5.1,5.1,5.4,5.2,5.1
1953.06.19,12:43:58 AM,38.01,38.24,turkey,adiyaman,celikhan,south,2.6,15.0,4.7,4.6,4.6,4.7,4.5,4.6
1953.12.15,12:40:27 AM,39.61,41.08,turkey,erzurum,budaklar_cat,south,2.6,40.0,4.8,4.7,4.6,4.8,4.6,4.7
1964.10.03,12:57:58 AM,38.01,38.24,turkey,adiyaman,celikhan,south,2.6,25.0,4.5,4.3,4.3,4.5,4.2,4.4
1964.12.15,12:03:16 AM,40.02,28.79,turkey,bursa,cinarcik_orhaneli,south,2.6,26.0,4.8,4.6,4.6,4.8,4.5,4.7
1967.07.23,12:42:23 AM,40.74,30.36,turkey,sakarya,serdivan,south,2.6,11.0,4.5,4.5,4.5,4.4,4.4,4.1
1968.07.08,12:18:58 AM,38.01,38.24,turkey,adiyaman,celikhan,south,2.6,57.0,4.8,4.6,0.0,4.8,4.5,4.5
1970.10.07,12:46:58 AM,38.01,38.24,turkey,adiyaman,celikhan,south,2.6,33.0,4.6,4.4,4.4,4.6,4.3,4.5
1974.12.01,12:09:58 AM,38.01,38.24,turkey,adiyaman,celikhan,south,2.6,36.0,4.8,4.6,4.3,4.8,4.5,4.5
1929.10.15,12:45:22 AM,38.0,42.0,turkey,siirt,dereyamac_aydinlar,north_west,2.6,30.0,5.2,4.9,4.9,5.2,4.9,4.9
1970.03.29,12:40:27 AM,38.73,28.0,turkey,manisa,taskuyucak_golmarmara,north_west,2.6,47.0,4.8,4.6,4.5,4.8,4.5,4.5
1970.04.01,12:02:24 AM,38.9,28.8,turkey,manisa,omurlar_selendi,north_west,2.6,54.0,5.0,4.9,4.8,5.0,4.9,4.9
1970.05.11,12:58:47 AM,39.36,29.32,turkey,kutahya,sariayak_emet,north_west,2.6,10.0,4.6,4.4,4.5,4.6,4.3,4.5
1971.05.15,12:11:40 AM,37.42,30.05,turkey,burdur,akoren_kemer,north_west,2.6,10.0,4.3,4.1,4.1,4.3,3.9,4.2
2014.03.26,12:00:14 AM,38.14,38.6,turkey,malatya,tekederesi_puturge,north_west,2.6,2.8,4.1,0.0,4.1,4.0,0.0,0.0
2014.05.27,12:16:14 AM,38.85,43.56,turkey,van,akcift,north_west,2.6,5.0,4.3,0.0,4.3,4.1,0.0,0.0
2016.07.02,12:14:08 AM,38.76,27.8,turkey,manisa,kumkuyucak_saruhanli,north_west,2.6,11.4,4.0,0.0,3.9,4.0,0.0,0.0
2016.09.21,12:25:24 AM,36.91,34.45,turkey,mersin,degirmencay_yenisehir,north_west,2.6,5.4,3.7,0.0,3.5,3.7,0.0,0.0
1949.02.05,12:28:22 AM,39.89,29.35,turkey,bursa,sorgun_keles,north_east,2.6,40.0,5.3,5.0,4.9,5.3,5.0,5.0
1965.12.22,12:43:04 AM,37.1,28.1,turkey,mugla,zeytin,north_east,2.6,10.0,4.9,4.7,4.5,4.9,4.7,4.8
1966.08.21,12:30:44 AM,40.33,27.4,turkey,canakkale,bozlar_biga,north_east,2.6,12.0,5.1,4.9,4.9,5.1,4.9,4.8
1970.04.20,12:33:15 AM,38.89,30.3,turkey,afyonkarahisar,catkuyu_sinanpasa,north_east,2.6,33.0,4.3,4.1,4.3,4.3,3.9,4.2
1971.01.31,12:37:30 AM,37.04,30.38,turkey,antalya,sogutcuk_korkuteli,north_east,2.6,31.0,4.9,4.7,4.6,4.9,4.6,4.6
1939.12.27,12:00:49 AM,40.8,36.8,turkey,tokat,kurtulus_erbaa,east,2.6,30.0,4.7,4.6,4.6,4.7,4.5,4.6
1951.03.15,12:01:02 AM,38.4,44.0,turkey,van,sutluce_gurpinar,east,2.6,30.0,4.9,4.8,4.8,4.9,4.8,4.9
1974.02.01,12:01:02 AM,38.55,27.22,turkey,izmir,kurudere_bornova,west,2.7,24.0,5.5,5.2,5.2,5.5,5.3,5.2
2014.04.27,12:42:55 AM,39.84,41.79,turkey,erzurum,marifet_koprukoy,west,2.7,5.0,3.8,0.0,3.8,3.7,0.0,0.0
2017.07.09,12:08:15 AM,38.69,38.09,turkey,malatya,akyazi_yazihan,west,2.7,5.0,3.8,0.0,3.6,3.8,0.0,0.0
1965.06.28,12:27:03 AM,38.0,41.3,turkey,batman,eskihamur_besiri,south_west,2.7,33.0,5.4,5.1,5.1,5.4,5.1,5.1
1966.08.20,12:13:28 AM,39.3,41.6,turkey,erzurum,pinarkoy_hinis,south_west,2.7,27.0,4.9,4.7,4.7,4.9,4.7,4.8
1967.07.22,12:30:07 AM,40.73,30.53,turkey,sakarya,bediltahirbey_akyazi,south_west,2.7,10.0,5.1,4.8,4.8,5.1,4.8,4.8
1968.03.28,12:57:55 AM,38.1,31.0,turkey,isparta,gelendost,south_west,2.7,10.0,5.3,5.0,4.9,5.3,5.0,5.0
1970.03.28,12:30:52 AM,38.9,29.9,turkey,kutahya,yuyluk_dumlupinar,south_west,2.7,10.0,4.4,4.2,4.2,4.4,4.0,4.3
1970.04.04,12:48:10 AM,38.9,29.9,turkey,kutahya,yuyluk_dumlupinar,south_west,2.7,33.0,4.7,4.5,4.5,4.7,4.4,4.6
1971.05.13,12:28:39 AM,37.67,29.99,turkey,burdur,yaylabeli,south_west,2.7,27.0,5.0,4.7,4.6,5.0,4.7,4.7
2006.08.05,12:08:59 AM,38.82,42.46,turkey,bitlis,yuvadami_ahlat,south_west,2.7,17.8,3.8,3.8,3.7,3.7,0.0,0.0
